Country Name,Country Code,Labour Force (2024),Region,%ECW ILO,%ECW Poll,ECW ILO,ECW Poll
Bhutan,BTN,406000.0,Southern Asia,0.29351342978291883,0.19121442392287352,119166.45249186504,77633.05611268665
Botswana,BWA,1170000.0,Southern Africa,0.3252073610226981,0.11525423771150409,380492.61239655677,134847.4581224598
Central African Republic,CAF,2000000.0,Middle Africa,0.40346499188446094,0.12252087336693313,806929.9837689219,245041.74673386625
Canada,CAN,22900000.0,Northern America,0.30242887721759687,0.13717762964706948,6925621.288282968,3141367.718917891
Switzerland,CHE,5150000.0,Western Europe,0.2965885333147673,0.14415405371627454,1527430.9465710516,742393.3766388139
Chile,CHL,10100000.0,South America,0.36264279199559335,0.13877799221653153,3662692.1991554927,1401657.7213869684
China,CHN,774000000.0,Eastern Asia,0.36677342941949426,0.1526772716333545,283882634.37068856,118172208.2442164
Cote d'Ivoire,CIV,12600000.0,Western Africa,0.43096041502936,0.18777369991600898,5430101.229369936,2365948.618941713
Cameroon,CMR,11100000.0,Middle Africa,0.14993250500612001,0.05823198479419364,1664250.805567932,646375.0312155494
DR Congo,COD,38500000.0,Middle Africa,0.2453516555786454,0.1613039802919442,9446038.739777848,6210203.241239852
Congo Republic,COG,2560000.0,Middle Africa,0.14993250500612001,0.05823198479419364,383827.2128156672,149073.88107313574
Colombia,COL,26800000.0,South America,0.3627379008616148,0.12666736368040732,9721375.743091276,3394685.346634916
Comoros,COM,276000.0,Eastern Africa,0.31403133464216737,0.14211193892904794,86672.6483612382,39222.895144417234
Cabo Verde,CPV,224000.0,Western Africa,0.3650320733194142,0.13528449898609737,81767.18442354878,30303.727772885813
Costa Rica,CRI,2360000.0,Central America,0.3506332840446723,0.12659897501305226,827494.5503454267,298773.5810308033
Cuba,CUB,4860000.0,Caribbean,0.3071550081152243,0.0941096505847508,1492773.33943999,457372.9018418889
Curacao,CUW,71999.0,Caribbean,0.34392050619146664,0.1393630383462802,24761.932525279408,10033.999397893827
Cayman Islands,CYM,60828.0,Caribbean,0.34392050619146664,0.1393630383462802,20919.99655061453,8477.174896527531
Cyprus,CYP,772000.0,Western Asia,0.3159303674086506,0.11364914953050832,243898.24363947826,87737.14343755243
Czechia,CZE,5540000.0,Eastern Europe,0.3290822003696382,0.1705543284565229,1823115.3900477956,944870.9796491369
Germany,DEU,43800000.0,Western Europe,0.3154726600922441,0.15609264826833524,13817702.512040293,6836857.994153083
Djibouti,DJI,265000.0,Eastern Africa,0.287250113287978,0.11504637833912311,76121.28002131417,30487.290259867623
Dominica,DMA,32630.0,Caribbean,0.24778634061127813,0.15197252382683882,8085.268294146005,4958.863452469751
Denmark,DNK,3210000.0,Northern Europe,0.3220821602656791,0.1481214553592066,1033883.7344528299,475469.8717030532
Dominican Republic,DOM,5410000.0,Caribbean,0.3071550081152243,0.0941096505847508,1661708.5939033634,509133.2096635019
Algeria,DZA,13300000.0,Northern Africa,0.3668284520473776,0.16931315263544688,4878818.412230122,2251864.9300514436
Ecuador,ECU,8820000.0,South America,0.37469936321038383,0.15160652183809337,3304848.383515585,1337169.5226119836
Egypt,EGY,33700000.0,Northern Africa,0.37772282268916507,0.15190102556791388,12729259.124624863,5119064.561638698
Eritrea,ERI,1710000.0,Eastern Africa,0.302004252728349,0.11399185086311553,516427.2721654768,194926.06497592755
Spain,ESP,24400000.0,Southern Europe,0.34491641399830814,0.13869557258628132,8415960.50155872,3384171.971105264
Estonia,EST,756000.0,Northern Europe,0.28240378046237663,0.13817529031946518,213497.25802955675,104460.51948151567
Ethiopia,ETH,54500000.0,Eastern Africa,0.23061099655248518,0.08342934376066537,12568299.312110443,4546899.234956263
Finland,FIN,2900000.0,Northern Europe,0.31562314172362216,0.1531934401496877,915307.1109985042,444260.9764340943
Fiji,FJI,388000.0,Melanesia,0.3172190233886718,0.14304478403013807,123080.98107480466,55501.37620369357
France,FRA,31700000.0,Western Europe,0.30217623256286913,0.14585780347506938,9578986.572242951,4623692.3701597
Faroe Islands,FRO,32200.0,Northern Europe,0.2941426830706173,0.13297372220490597,9471.394394873878,4281.753854997973
"Micronesia, Fed. Sts.",FSM,14500.0,Micronesia,0.3477214583333946,0.13152798612442843,5041.9611458342215,1907.1557988042123
Gabon,GAB,824000.0,Middle Africa,0.2127808665757327,0.06654208779530292,175331.43405840374,54830.68034332961
United Kingdom,GBR,35400000.0,Northern Europe,0.2783606015278715,0.12353732880841267,9853965.294086652,4373221.439817809
Georgia,GEO,1830000.0,Western Asia,0.2563664712260862,0.1256040521238392,469150.6423437377,229855.41538662577
Ghana,GHA,13900000.0,Western Africa,0.35301962167311157,0.13134278744920536,4906972.741256251,1825664.7455439544
Gibraltar,GIB,27000.0,Southern Europe,0.3159303674086506,0.11364914953050832,8530.119920033567,3068.527037323725
Guinea,GIN,4530000.0,Western Africa,0.3828359325072697,0.0840881475314326,1734246.7742579319,380919.30831738963
Gambia,GMB,783000.0,Western Africa,0.4223845373379036,0.12224917230199389,330727.09273557854,95721.10191246122
Guinea-Bissau,GNB,845000.0,Western Africa,0.24566236064676927,0.07838901664519204,207584.69474652005,66238.71906518728
Equatorial Guinea,GNQ,715000.0,Middle Africa,0.2653277679727724,0.08711472040803457,189709.35410053228,62287.02509174472
Greece,GRC,4650000.0,Southern Europe,0.345098890971162,0.13366766091319202,1604709.8430159031,621554.6232463429
Grenada,GRD,58405.654584,Caribbean,0.2455858135232932,0.09029113319795921,14343.600195372099,5273.512737557941
Greenland,GRL,28992.0,Northern America,0.2941426830706173,0.13297372220490597,8527.784667583337,3855.174154164634
Guatemala,GTM,7580000.0,Central America,0.4103501992235839,0.12556446902373464,3110454.510114766,951778.6751999086
Guam,GUM,77700.0,Micronesia,0.3073473080645559,0.12132187625811738,23880.885836615995,9426.70978525572
Guyana,GUY,292000.0,South America,0.37921110918696005,0.13751195955667345,110729.64388259234,40153.49219054865
Hong Kong,HKG,3840000.0,Eastern Asia,0.20754618573233521,0.08941476756032685,796977.3532121673,343352.7074316551
Honduras,HND,4300000.0,Central America,0.41500758627458706,0.14194988755410712,1784532.6209807245,610384.5164826607
Croatia,HRV,1730000.0,Southern Europe,0.3301687780982355,0.1535844985569877,571191.9861099474,265701.18250358873
Haiti,HTI,5280000.0,Caribbean,0.41500758627458706,0.14194988755410712,2191240.05552982,749495.4062856856
Hungary,HUN,4950000.0,Eastern Europe,0.3202768126407708,0.1594156684889706,1585370.2225718154,789107.5590204045
Indonesia,IDN,143000000.0,South-eastern Asia,0.4225460334280783,0.15344397564580553,60424082.7802152,21942488.51735019
Isle of Man,IMN,36555.0,Northern Europe,0.2783606015278715,0.12353732880841267,10175.471788851342,4515.907054591526
India,IND,608000000.0,Southern Asia,0.34729068926644496,0.18562299371231075,211152739.07399854,112858780.17708494
Ireland,IRL,2860000.0,Northern Europe,0.3160717327177028,0.13462069461994963,903965.15557263,385015.18661305594
Iran,IRN,28600000.0,Southern Asia,0.368178929013969,0.15806209169700655,10529917.369799513,4520575.822534387
Iraq,IRQ,12000000.0,Western Asia,0.4034818394444535,0.17060892116049745,4841782.073333442,2047307.0539259694
Iceland,ISL,248000.0,Northern Europe,0.2941426830706173,0.13297372220490597,72947.3854015131,32977.48310681668
Israel,ISR,4710000.0,Western Asia,0.24587453035385284,0.11483028317377778,1158069.037966647,540850.6337484933
Italy,ITA,25800000.0,Southern Europe,0.34083442244276657,0.14847897815108743,8793528.099023378,3830757.6362980558
Jamaica,JAM,1570000.0,Caribbean,0.3348071156242068,0.1184971683949518,525647.1715300047,186040.55438007432
Jordan,JOR,3080000.0,Western Asia,0.4406850567513692,0.12697568511829985,1357309.9747942172,391085.1101643635
Japan,JPN,69400000.0,Eastern Asia,0.3806598657529348,0.12059565599995965,26417794.683253676,8369338.5263972
Kazakhstan,KAZ,10300000.0,Central Asia,0.2563664712260862,0.1256040521238392,2640574.653628688,1293721.7368755438
Kenya,KEN,23800000.0,Eastern Africa,0.29143936694504385,0.15827719977840257,6936256.933292043,3766997.354725981
Kyrgyz Republic,KGZ,3200000.0,Central Asia,0.37869338257038987,0.15975222585815432,1211818.8242252476,511207.12274609384
Cambodia,KHM,9900000.0,South-eastern Asia,0.3912676559950246,0.14522885929134152,3873549.7943507438,1437765.706984281
Kiribati,KIR,40794.0,Micronesia,0.37496838969847485,0.13317392010570556,15296.460489359582,5432.696896792152
St. Kitts and Nevis,KNA,21848.0,Caribbean,0.24778634061127813,0.15197252382683882,5413.635969675204,3320.2957005687745
South Korea,KOR,29700000.0,Eastern Asia,0.37371664758621453,0.1366364638166571,11099384.433310572,4058102.9753547157
Kuwait,KWT,3000000.0,Western Asia,0.30420926373044305,0.1193440840484567,912627.7911913291,358032.2521453701
Laos,LAO,3580000.0,South-eastern Asia,0.30426485879943865,0.1662278367519776,1089268.1945019905,595095.6555720798
Lebanon,LBN,1940000.0,Western Asia,0.3916655745125368,0.13551712205280414,759831.2145543214,262903.21678244
Liberia,LBR,2610000.0,Western Africa,0.20952059026234698,0.06871088600695709,546848.7405847256,179335.412478158
Libya,LBY,2580000.0,Northern Africa,0.3704599089279734,0.16350911027960255,955786.5650341714,421853.5045213746
St. Lucia,LCA,102000.0,Caribbean,0.24778634061127813,0.15197252382683882,25274.20674235037,15501.19743033756
Liechtenstein,LIE,20786.0,Western Europe,0.3159303674086506,0.11364914953050832,6566.928616956211,2362.311222141146
Sri Lanka,LKA,8500000.0,Southern Asia,0.32914983717191604,0.15722830049802342,2797773.6159612862,1336440.554233199
Lesotho,LSO,884000.0,Southern Africa,0.31540034277336665,0.09936744429705192,278813.90301165613,87840.8207585939
Lithuania,LTU,1550000.0,Northern Europe,0.2879635458527015,0.12846135235325248,446343.4960716873,199115.09614754136
Luxembourg,LUX,350000.0,Western Europe,0.18946118788464245,0.08667776998054474,66311.41575962486,30337.21949319066
Latvia,LVA,955000.0,Northern Europe,0.2853013169655829,0.1328576899906659,272462.7577021317,126879.09394108594
Macau,MAC,382000.0,Eastern Asia,0.20754618573233521,0.08941476756032685,79282.64294975206,34156.44120804485
Saint-Martin,MAF,,Caribbean,0.24778634061127813,0.15197252382683882,,
Morocco,MAR,12500000.0,Northern Africa,0.3704599089279734,0.16350911027960255,4630748.861599668,2043863.878495032
Monaco,MCO,78364.0,Western Europe,0.3159303674086506,0.11364914953050832,24757.567311611496,8906.001953808754
Moldova,MDA,1360000.0,Eastern Europe,0.30525619868142906,0.1408227212986954,415148.43020674353,191518.90096622577
Madagascar,MDG,16500000.0,Eastern Africa,0.24778634061127813,0.15197252382683882,4088474.6200860892,2507546.6431428404
Maldives,MDV,270000.0,Southern Asia,0.26392104213851414,0.11084255664616263,71258.68137739881,29927.49029446391
Mexico,MEX,61000000.0,Central America,0.39708537305955327,0.12904285856193348,24222207.75663275,7871614.3722779425
Marshall Islands,MHL,13860.0,Micronesia,0.34392050619146664,0.1393630383462802,4766.738215813728,1931.5717114794436
North Macedonia,MKD,779000.0,Southern Europe,0.36732032308751045,0.16092432253284436,286142.53168517066,125360.04725308575
Mali,MLI,9130000.0,Western Africa,0.3206512317676613,0.14630393432190028,2927545.7460387475,1335754.9203589496
Malta,MLT,318000.0,Southern Europe,0.3212981413380585,0.12899154317291053,102172.8089455026,41019.31072898555
Myanmar,MMR,22700000.0,South-eastern Asia,0.3891549632274252,0.17017713853844516,8833817.665262552,3863021.044822705
Montenegro,MNE,245000.0,Southern Europe,0.3538213735349076,0.14035175778331735,86686.23651605236,34386.18065691275
Mongolia,MNG,1450000.0,Eastern Asia,0.33587033857533183,0.17341183692782478,487011.99093423114,251447.16354534592
Northern Mariana Islands,MNP,23002.0,Micronesia,0.3073473080645559,0.12132187625811737,7069.602780100915,2790.6457976892157
Mozambique,MOZ,15200000.0,Eastern Africa,0.1420779892028112,0.04048121472771222,2159585.4358827304,615314.4638612258
Mauritania,MRT,1210000.0,Western Africa,0.40346499188446094,0.12252087336693313,488192.6401801977,148250.2567739891
Mauritius,MUS,595000.0,Eastern Africa,0.3477949529796106,0.12717146939463703,206937.9970228683,75667.02428980904
Malawi,MWI,8600000.0,Eastern Africa,0.2399226895488944,0.11744077378275292,2063335.1301204918,1009990.654531675
Malaysia,MYS,18300000.0,South-eastern Asia,0.3989395445833936,0.16152162517341015,7300593.665876103,2955845.7406734056
Namibia,NAM,1130000.0,Southern Africa,0.35246906460893757,0.13679451005351734,398290.0430080994,154577.7963604746
New Caledonia,NCL,131000.0,Melanesia,0.2904191370188696,0.1205967525949353,38044.90694947192,15798.174589936523
Niger,NER,10500000.0,Western Africa,0.40346499188446094,0.12252087336693313,4236382.41478684,1286469.1703527977
Nigeria,NGA,113000000.0,Western Africa,0.14993250500612001,0.05823198479419364,16942373.06569156,6580214.281743881
Nicaragua,NIC,3220000.0,Central America,0.42624194089562123,0.1358241951003463,1372499.0496839003,437353.9082231151
Netherlands,NLD,10300000.0,Western Europe,0.29111289012825303,0.12453288026080968,2998462.768321006,1282688.6666863398
Norway,NOR,3040000.0,Northern Europe,0.3287503933608577,0.153777818131592,999401.1958170075,467484.56712003966
Nepal,NPL,8440000.0,Southern Asia,0.41035636072433757,0.13469469530156156,3463407.684513409,1136823.2283451795
Nauru,NRU,8000.0,Polynesia,0.14606896329317265,0.08577560252488063,1168.5517063453813,686.204820199045
New Zealand,NZL,3120000.0,Australia and New Zealand,0.2926016834102728,0.1313166609687423,912917.2522400512,409707.982222476
Oman,OMN,2700000.0,Western Asia,0.30420926373044305,0.1193440840484567,821365.0120721962,322229.0269308331
Pakistan,PAK,83600000.0,Southern Asia,0.381147492474596,0.19508116173853146,31863930.370876227,16308785.12134123
Panama,PAN,2210000.0,Central America,0.3209597741787417,0.14547804768151903,709321.1009350192,321506.48537615704
Peru,PER,18900000.0,South America,0.4063250237659223,0.1349293759179897,7679542.949175931,2550165.2048500055
Philippines,PHL,51000000.0,South-eastern Asia,0.377035428421276,0.1456934667318556,19228806.849485077,7430366.803324635
Palau,PLW,8000.0,Micronesia,0.3242754791102422,0.12204699992129946,2594.2038328819376,976.3759993703957
Papua New Guinea,PNG,3660000.0,Melanesia,0.3498744969397701,0.1305174411307902,1280540.6587995584,477693.83453869214
Poland,POL,18200000.0,Eastern Europe,0.29420320928467836,0.146532926613187,5354498.408981146,2666899.2643600036
Puerto Rico,PRI,1150000.0,Caribbean,0.3152342486941693,0.12465832272175742,362519.3859982947,143357.07113002104
North Korea,PRK,17600000.0,Eastern Asia,0.3552631850886556,0.16273938015940528,6252632.057560339,2864213.090805533
Portugal,PRT,5460000.0,Southern Europe,0.32675063473398297,0.1403862708684726,1784058.465647547,766509.0389418604
Paraguay,PRY,3500000.0,South America,0.4010208193946683,0.14468317331471045,1403572.867881339,506391.10660148656
Palestine,PSE,,Western Asia,0.4027804832938638,0.14434740980776933,,
French Polynesia,PYF,119000.0,Polynesia,0.2904191370188696,0.1205967525949353,34559.877305245485,14351.0135587973
Qatar,QAT,2120000.0,Western Asia,0.30420926373044305,0.1193440840484567,644923.6391085392,253009.4581827282
Romania,ROU,8260000.0,Eastern Europe,0.36124449215490567,0.1736441771956203,2983879.505199521,1434300.9036358236
Russia,RUS,72500000.0,Eastern Europe,0.318889635120379,0.16109589631026175,23119498.546227477,11679452.482493976
Rwanda,RWA,5670000.0,Eastern Africa,0.37709317173964346,0.11957842170475792,2138118.2837637784,678009.6510659774
Saudi Arabia,SAU,17200000.0,Western Asia,0.30420926373044305,0.1193440840484567,5232399.33616362,2052718.2456334552
Sudan,SDN,13060000.0,Northern Africa,0.3315125316090911,0.11188279591110036,4329553.66281473,1461189.3145989706
Senegal,SEN,5760000.0,Western Africa,0.46199477850801596,0.1354454116383389,2661089.924206172,780165.571036832
Singapore,SGP,3720000.0,South-eastern Asia,0.04831894204517616,0.026152263487299175,179746.4644080553,97286.42017275293
Solomon Islands,SLB,436000.0,Melanesia,0.31612222672793505,0.12986586001680717,137829.29085337967,56621.51496732792
Sierra Leone,SLE,2860000.0,Western Africa,0.3670218968119577,0.11948670410977823,1049682.6248821989,341731.97375396575
El Salvador,SLV,2890000.0,Central America,0.45336803718869273,0.13995822872319716,1310233.627475322,404479.2810100398
San Marino,SMR,15554.0,Southern Europe,0.3159303674086506,0.11364914953050832,4913.980934674151,1767.6988717975264
Somalia,SOM,3440000.0,Eastern Africa,0.287250113287978,0.11504637833912311,988140.3897106444,395759.5414865835
Serbia,SRB,3230000.0,Southern Europe,0.3229600600208591,0.16516254022147134,1043160.9938673748,533475.0049153524
South Sudan,SSD,5303000.0,Eastern Africa,0.35273462230640495,0.11825636211502433,1870551.7020908655,627113.488295974
Sao Tome and Principe,STP,34500.0,Middle Africa,0.43326993233646466,0.13657008863460712,14947.812665608031,4711.668057893946
Suriname,SUR,255000.0,South America,0.35924854451050786,0.14535970830197797,91608.3788501795,37066.725617004384
Slovakia,SVK,2780000.0,Eastern Europe,0.3496490370077436,0.17110530655502065,972024.3228815271,475672.75222295744
Slovenia,SVN,1060000.0,Southern Europe,0.323625549972905,0.1561527012677479,343043.0829712793,165521.8633438128
Sweden,SWE,5700000.0,Northern Europe,0.29033549910118045,0.15006067170742104,1654912.3448767285,855345.8287323
Eswatini,SWZ,391000.0,Southern Africa,0.4038324671714954,0.13490772505829124,157898.4946640547,52748.92049779188
Sint Maarten,SXM,23200.0,Caribbean,0.3118757843314038,0.14356620017313307,7235.518196488568,3330.735844016687
Seychelles,SYC,100000.0,Eastern Africa,0.34651271033561337,0.14719182356566796,34651.27103356134,14719.182356566796
Syria,SYR,6620000.0,Western Asia,0.41194415690278646,0.14436724277720048,2727070.3186964463,955711.1471850672
Turks and Caicos Islands,TCA,,Caribbean,0.34392050619146664,0.1393630383462802,,
Chad,TCD,6600000.0,Middle Africa,0.38655486869177563,0.12109936961629686,2551262.133365719,799255.8394675592
Togo,TGO,3340000.0,Western Africa,0.42639450542567847,0.12537118359296798,1424157.648121766,418739.753200513
Thailand,THA,40600000.0,South-eastern Asia,0.4019028670829994,0.17930773468663183,16317256.403569775,7279894.028277253
Tajikistan,TJK,2780000.0,Central Asia,0.3276340759086959,0.1319320995413131,910822.7310261746,366771.23672485043
Turkmenistan,TKM,2440000.0,Central Asia,0.2563664712260862,0.1256040521238392,625534.1897916503,306473.8871821677
Timor-Leste,TLS,616000.0,South-eastern Asia,0.2570792011442889,0.11120684708716777,158360.78790488196,68503.41780569535
Tonga,TON,34800.0,Polynesia,0.30900344315194034,0.10569549612661505,10753.319821687524,3678.203265206204
Trinidad and Tobago,TTO,650000.0,Caribbean,0.2899358562795594,0.10999975208880144,188458.30658171364,71499.83885772094
Tunisia,TUN,4250000.0,Northern Africa,0.3668284520473776,0.16931315263544688,1559020.9212013546,719580.8987006493
Türkiye,TUR,36100000.0,Western Asia,0.3677449289339085,0.15934544330968714,13275591.934514096,5752370.503479706
Tuvalu,TUV,9646.0,Polynesia,0.24686127531071414,0.12516482376934038,2381.2238616471486,1207.3398900790573
Tanzania,TZA,33000000.0,Eastern Africa,0.3563987759017231,0.24628025072867626,11761159.604756862,8127248.274046317
Uganda,UGA,22800000.0,Eastern Africa,0.22878585478700403,0.08664989184607925,5216317.489143692,1975617.534090607
Ukraine,UKR,25040604.0,Eastern Europe,0.32125992137911,0.14583464101649635,8044542.472325428,3651787.4951762427
Uruguay,URY,1770000.0,South America,0.36933191830124334,0.13233138687567328,653717.4953932008,234226.5547699417
United States,USA,174000000.0,Northern America,0.30242887721759687,0.13717762964706948,52622624.63586186,23868907.558590088
Uzbekistan,UZB,14000000.0,Central Asia,0.2971421083408541,0.13698677670194426,4159989.5167719573,1917814.8738272197
St. Vincent and the Grenadines,VCT,52100.0,Caribbean,0.24778634061127813,0.15197252382683882,12909.66834584759,7917.768491378302
Venezuela,VEN,11100000.0,South America,0.3812540959459736,0.13773442047883014,4231920.465000307,1528852.0673150145
British Virgin Islands,VGB,22000.0,Caribbean,0.3439205061914666,0.1393630383462802,7566.251136212265,3065.986843618164
United States Virgin Islands,VIR,47200.0,Caribbean,0.3439205061914666,0.1393630383462802,16233.047892237222,6577.935409944425
Vietnam,VNM,57100000.0,South-eastern Asia,0.37236973323910294,0.15181316518779306,21262311.767952777,8668531.732222984
Vanuatu,VUT,118000.0,Melanesia,0.28127315985536316,0.11603535488949324,33190.232862932855,13692.171876960201
Samoa,WSM,57200.0,Polynesia,0.2904191370188696,0.1205967525949353,16611.974637479343,6898.134248430299
Kosovo,XKX,464567.0,Southern Europe,0.3727166919541645,0.12259932524789541,173151.87543107034,56955.60073243902
Yemen,YEM,7850000.0,Western Asia,0.30692229920847275,0.11364034170444633,2409340.048786511,892076.6823799036
South Africa,ZAF,27800000.0,Southern Africa,0.33434023847793615,0.10735779878793401,9294658.629686626,2984546.8063045656
Zambia,ZMB,7410000.0,Eastern Africa,0.22129130354214888,0.06556085589187027,1639768.559247323,485805.9421587587
Zimbabwe,ZWE,6390000.0,Eastern Africa,0.2292999535364611,0.07705102990810911,1465226.7030979865,492356.0811128172
