Region,Countries Percentage after 1 Year
St. Lucia,0.664915452948376
Liechtenstein,100.0
Sri Lanka,7.282456004464929
Lesotho,0.07504969262295082
Lithuania,30.934757300859427
Luxembourg,51.86492044506274
Latvia,27.90241166495168
Macau,0.19300752430026935
Saint-Martin,0.0
Morocco,6.135924955196017
Monaco,0.740216146418145
Moldova,0.3528091922603336
Madagascar,0.01865176750496302
Maldives,0.424807213402568
Mexico,33.603995070205464
Marshall Islands,3.4139642672190575
North Macedonia,2.875946479986153
Mali,0.004935313687999437
Malta,1.6604037528491382
Myanmar,2.1566260435126257
Montenegro,0.49409943020584185
Mongolia,1.769928752953388
Northern Mariana Islands,2.3628548387096773
Mozambique,0.010713822536136022
Mauritania,0.04446789207419899
Mauritius,0.9499688107100851
Malawi,0.0065271586847394526
Malaysia,26.99384432858295
Namibia,0.3025687197966062
New Caledonia,8.258888150398784
Niger,0.012932153825704314
Nigeria,4.691940825778511
Nicaragua,0.24781545598722693
Netherlands,86.7066007837426
Norway,35.749893517424496
Nepal,0.07489484906980526
Nauru,9.609861516034986
New Zealand,38.89281040690188
Oman,9.417186063858425
Pakistan,2.054636400942127
Panama,7.357363263818401
Peru,8.280271042182239
Philippines,6.963258174369304
Palau,6.754472336065573
Papua New Guinea,0.013800422028373872
Poland,37.411495991708826
Puerto Rico,0.0459856512064287
North Korea,0.3822135836266367
Portugal,34.00109710651868
Paraguay,8.392038786349088
Palestine,0.0
French Polynesia,0.4593662462546164
Qatar,50.071643915494526
Romania,19.48227781610724
Russia,14.240772111709656
Rwanda,0.009723123144383039
Saudi Arabia,53.784414565244205
Sudan,0.004511644284209641
Senegal,0.07496964103747285
Singapore,100.0
Solomon Islands,0.1164296815669098
Sierra Leone,0.019291094457336327
El Salvador,6.2681067431304385
San Marino,19.536658590916296
Somalia,0.016657523897119206
Serbia,14.512163148552844
South Sudan,0.010512244204792437
Sao Tome and Principe,1.3993557631076206
Suriname,1.2084364822088351
Slovakia,37.39866327045745
Slovenia,46.00629606477528
Sweden,83.2290631156286
Eswatini,0.12497848259649655
Sint Maarten,1.9796891891891892
Seychelles,0.4478813098715945
Syria,0.006897864521806278
Turks and Caicos Islands,0.0
Chad,0.008248137327886594
Togo,0.01574337475133675
Thailand,13.240737210576814
Tajikistan,0.5797951698451103
Turkmenistan,6.029071547809453
Timor-Leste,0.1197615273034819
Tonga,1.7923776508972267
Trinidad and Tobago,50.40420091153602
Tunisia,5.782568680598386
Türkiye,2.8084774249264406
Tuvalu,5.4617771333885665
Tanzania,0.0008111435752914147
Uganda,0.003336863875943566
Ukraine,2.6046536373953235
Uruguay,17.758782568352885
United States,100.0
Uzbekistan,6.142642712608595
St. Vincent and the Grenadines,1.0274447633124935
Venezuela,0.004311970681269345
British Virgin Islands,2.150853181076672
United States Virgin Islands,1.002336171506766
Vietnam,8.468472248287965
Vanuatu,0.48147567922874673
Samoa,0.9556922296317774
Kosovo,8.730549347352254
Yemen,0.007389914088037342
South Africa,17.00217415324693
Zambia,0.24100475499428783
Zimbabwe,1.1490332503310612
